[sectors]
#id,floor,ceiling,numwalls,wallindices...
1,0.0,50.0,4,0,1,2,3,

2,10.0,100.0,6,4,8,9,10,6,2,

3,0.0,50.0,5,11,12,13,14,15,

[lines]
#x1,y1,x2,y2,portalnum
#A portalnum of zero means it is a wall
#0,1,2,3
5,5,200,5,0,
5,200,5,5,0,
200,5,200,200,2,
200,200,5,200,0,

#4,5,6,7
200,5,250,5,0,
250,5,250,200,1,
250,200,200,200,0,
#new
200,5,200,200,1,

#8,9,10
#splitting a line
250,5,250,50,0,
250,50,250,150,3,
250,150,250,200,0,

#concave
#This sector is flickering, but not if you are close enough. Find out why
#11,12,13,14,15
250,50,400,50,0,
400,50,400,150,0,
400,150,300,100,0,
300,100,250,150,0,
250,150,250,50,2,


#[player]
#x-pos,y-pos,height,angle,sector,
#100.0,100.0,15.0,0.0,0,
